model,split,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,tn,fp,fn,tp,selected
xgboost,validation,0.13,0.6692438933544798,0.5941485307824541,0.6452834014103312,0.9873053303237034,0.20099173124120492,0.7804681355421957,0.9111397469631979,108265,430389,10067,782943,False
xgboost,validation,0.14,0.6743525393793028,0.600906963674459,0.6492905565124477,0.9854264132860872,0.2163875140628307,0.7827998070680606,0.9037932992106117,116558,422096,11557,781453,False
xgboost,validation,0.15,0.6794048648908433,0.6076079855463968,0.6533328753961226,0.9834957945044829,0.23172017658831087,0.7851159344644496,0.8964415948767858,124817,413837,13088,779922,False
xgboost,validation,0.16,0.684178591596679,0.6139807079595951,0.6572504374142905,0.9814970807429919,0.24646433517619845,0.7872956370540379,0.8892873878095375,132759,405895,14673,778337,False
xgboost,validation,0.17,0.6889065109517115,0.6203167557027959,0.661215597736142,0.9794138787657154,0.2612196326398764,0.7894576350779258,0.882078362109361,140707,397947,16325,776685,False
xgboost,validation,0.18,0.6934414386812289,0.6264464007583792,0.6651299961461642,0.9771944868286655,0.2756983146880929,0.7915139450166311,0.8749001249564454,148506,390148,18085,774925,False
xgboost,validation,0.19,0.6976992694853957,0.632246030067607,0.6689078291294593,0.9749221321294813,0.28956992800573284,0.7934312700731575,0.867935905754004,155978,382676,19887,773123,False
xgboost,validation,0.2,0.7018121688353819,0.6378959844515807,0.6726633639186408,0.9725249366338382,0.30326703226932317,0.7952668945569288,0.860967931850677,163356,375298,21788,771222,False
xgboost,validation,0.21,0.7058469704069495,0.6434598224822036,0.6764291837945967,0.9700836055030831,0.316836039461324,0.7970698627404762,0.8540254899133716,170665,367989,23724,769286,False
xgboost,validation,0.22,0.7095971656513955,0.6486941874789929,0.680052186598999,0.9675476980113744,0.32984067694661134,0.7987168897223658,0.8472550132766223,177670,360984,25735,767275,False
xgboost,validation,0.23,0.7133909154261135,0.6540044224380727,0.6837932972725657,0.9649184751768578,0.34309036969928747,0.8003882749744122,0.8403298429633902,184807,353847,27820,765190,False
xgboost,validation,0.24,0.7169060663951267,0.6590202992240966,0.6874235257016714,0.9620774012938046,0.3559631971543885,0.8018845317049074,0.8334309555563566,191741,346913,30073,762937,False
xgboost,validation,0.25,0.7203431195857213,0.6639321958221994,0.6910403818254987,0.9592678528644027,0.36859653877999604,0.8033563783809187,0.8266477129365967,198546,340108,32301,760709,False
xgboost,validation,0.26,0.7236187206382391,0.6686897759433028,0.6946344904025392,0.9562666296768011,0.3811129222098044,0.8047190409109118,0.8197976366410746,205288,333366,34681,758329,False
xgboost,validation,0.27,0.7267974504079107,0.6733439883313489,0.6982261091897963,0.9531960504911665,0.3934919261715313,0.8060281445637187,0.8129618282089176,211956,326698,37116,755894,False
xgboost,validation,0.28,0.7298327506037559,0.6778646733410956,0.7018090416681417,0.9499401016380625,0.4057892450441285,0.807237049372159,0.806048672938519,218580,320074,39698,753312,False
