model,recall,precision,threshold
MLP,0.9597031266653102,0.6416706975779981,0.0260426327586174
MLP,0.9592089837126607,0.6420654394517528,0.026251301169395447
MLP,0.9586825438350015,0.6424463841640388,0.026471683755517006
MLP,0.958185171189851,0.6428504876415743,0.026668833568692207
MLP,0.9576167453096791,0.6432022144079691,0.026875216513872147
MLP,0.9571064538945248,0.6435910410744109,0.02708984911441803
MLP,0.9565251092443489,0.6439469215499116,0.027301348745822906
MLP,0.9559082379766622,0.6442754771524102,0.027509430423378944
MLP,0.9553527308664942,0.6446405805629106,0.027708489447832108
MLP,0.954823061296334,0.6450296072296622,0.0279364213347435
MLP,0.9542287978761542,0.6453758494374218,0.02813720703125
MLP,0.953702357998495,0.6457589349171949,0.028341827914118767
MLP,0.9530693382683034,0.6460904538896224,0.02855280041694641
MLP,0.9526107219331648,0.6465241169185582,0.02875317633152008
MLP,0.9520422960529928,0.646889847153187,0.028981568291783333
MLP,0.9514997077128287,0.6472668951577467,0.02918684296309948
MLP,0.9509571193726646,0.6476462385127377,0.029385052621364594
MLP,0.9504306794950053,0.6480388983213208,0.02959229238331318
MLP,0.9498525645373304,0.6484000546763732,0.029792286455631256
MLP,0.9492841386571584,0.6487658122374743,0.030014565214514732
MLP,0.9487576987794992,0.6491568458898586,0.03022133558988571
MLP,0.9482409479793429,0.6495554233047126,0.03043277934193611
MLP,0.9476919002541768,0.6499270182930476,0.03066478669643402
MLP,0.9471396228365098,0.6503015788540003,0.030874628573656082
MLP,0.9465550484938329,0.6506663647322886,0.031061585992574692
MLP,0.9460027710761658,0.6510513447432763,0.03130378946661949
MLP,0.9454440342734968,0.6514284315514471,0.031518880277872086
MLP,0.9449143647033366,0.6518308101906003,0.03173284977674484
MLP,0.9443846951331764,0.652229773888682,0.031953293830156326
MLP,0.9437904317129966,0.6525806393982975,0.03217409551143646
MLP,0.9432543027578344,0.6529784089664162,0.03239723667502403
MLP,0.9426955659551655,0.6533570605155066,0.03262080252170563
MLP,0.9421174509974906,0.6537216901004432,0.03282970190048218
MLP,0.9415716329648254,0.654114014933946,0.033032339066267014
MLP,0.9409579913896398,0.6544615640352316,0.03326156362891197
MLP,0.9403443498144541,0.654809936983011,0.03348254784941673
MLP,0.9396531956192451,0.6551080468259204,0.033695898950099945
MLP,0.9391106072790809,0.6555061352113565,0.03391772881150246
MLP,0.938535722013907,0.6558840789057916,0.03412481024861336
MLP,0.9379414585937272,0.6562434327525156,0.03435515984892845
MLP,0.9373633436360524,0.6566283186841778,0.03458656743168831
MLP,0.9367723099083736,0.6569991188668945,0.03479670733213425
MLP,0.9361166823306752,0.6573224689364577,0.035011231899261475
MLP,0.9355547158355053,0.6577064634708432,0.0352272093296051
MLP,0.9349862899553334,0.6580957988274635,0.03545309975743294
MLP,0.9343694186876468,0.6584459359502204,0.03567749261856079
MLP,0.9337363989574553,0.6587885181986597,0.0359022282063961
MLP,0.9330581635322501,0.6591120125388703,0.036135148257017136
MLP,0.9324316031870605,0.6594607929354418,0.036332063376903534
MLP,0.9317888943793662,0.6598004866625197,0.03656114265322685
MLP,0.931113888646662,0.6601226375780224,0.03678843751549721
MLP,0.9304937876864744,0.6604800014671933,0.0370192714035511
MLP,0.929844619493778,0.6608175725302975,0.03724941238760948
MLP,0.9292245185335904,0.661182721320743,0.037463389337062836
MLP,0.9286173363434067,0.6615473109002014,0.03769192099571228
MLP,0.9279261821481977,0.6618574607577091,0.037912916392087936
MLP,0.9272447170304915,0.6621676476557743,0.038154810667037964
MLP,0.9266439942253099,0.6625409016489975,0.0383758544921875
MLP,0.926056190190132,0.6629243097524773,0.03859933093190193
MLP,0.9255006830799639,0.663328726883841,0.03884205222129822
MLP,0.9248741227347744,0.6636892897866857,0.039065804332494736
MLP,0.9242184951570761,0.6640329321239039,0.03930994123220444
MLP,0.9236145426593934,0.6644115050415873,0.03952779620885849
MLP,0.922968604159198,0.6647514881402375,0.03976185619831085
MLP,0.9223000578114958,0.665085287349897,0.039998672902584076
MLP,0.9217025646988151,0.6654712075458499,0.040227264165878296
